category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
作品,「進撃の巨人」の主人公は？,アニメ作品について,1,15,「進撃の巨人」の主人公はエレン・イェーガーです,エレン・イェーガー,ミカサ・アッカーマン,アルミン・アルレルト,リヴァイ,1
監督,宮崎駿監督の代表作「千と千尋の神隠し」の公開年は？,アニメ監督について,1,15,「千と千尋の神隠し」は2001年に公開されました,1999年,2001年,2003年,2005年,2
声優,「鬼滅の刃」の竈門炭治郎の声優は？,声優について,1,15,竈門炭治郎の声優は花江夏樹です,花江夏樹,梶裕貴,福山潤,神谷浩史,1
音楽,「新世紀エヴァンゲリオン」の主題歌「残酷な天使のテーゼ」の歌は？,アニメ音楽について,1,15,「残酷な天使のテーゼ」は高橋洋子が歌っています,高橋洋子,林原めぐみ,椎名林檎,宇多田ヒカル,1
制作会社,「攻殻機動隊」を制作した会社は？,アニメ制作会社について,2,20,「攻殻機動隊」はProduction I.Gが制作しました,Production I.G,マッドハウス,サンライズ,ボンズ,1
作品,「ワンピース」の主人公モンキー・D・ルフィの悪魔の実の能力は？,アニメ作品について,1,15,ルフィはゴムゴムの実を食べてゴム人間になりました,ゴムゴムの実,火火の実,氷氷の実,雷雷の実,1
監督,新海誠監督の「君の名は。」の主人公の名前は？,アニメ監督について,2,20,「君の名は。」の主人公は立花瀧と宮水三葉です,立花瀧と宮水三葉,新海誠,宮崎駿,細田守,1
声優,「ドラえもん」のドラえもんの声優は？,声優について,1,15,ドラえもんの声優は水田わさびです,水田わさび,大山のぶ代,藤子・F・不二雄,野比のび太,1
音楽,「スラムダンク」の主題歌「君が好きだと叫びたい」の歌は？,アニメ音楽について,2,20,「君が好きだと叫びたい」はBAADが歌っています,BAAD,ZARD,DEEN,MANISH,1
制作会社,「エヴァンゲリオン」シリーズを制作した会社は？,アニメ制作会社について,1,15,「エヴァンゲリオン」シリーズはGAINAXが制作しました,GAINAX,サンライズ,ボンズ,マッドハウス,1
作品,「ナルト」の主人公うずまきナルトの忍術は？,アニメ作品について,1,15,ナルトの得意技は影分身の術です,影分身の術,螺旋丸,写輪眼,白眼,1
監督,細田守監督の「時をかける少女」の主人公は？,アニメ監督について,2,20,「時をかける少女」の主人公は紺野真琴です,紺野真琴,立花瀧,宮水三葉,千尋,1
声優,「ポケットモンスター」のピカチュウの声優は？,声優について,1,15,ピカチュウの声優は大谷育江です,大谷育江,松本梨香,石塚運昇,三木眞一郎,1
音楽,「機動戦士ガンダム」の主題歌「翔べ！ガンダム」の歌は？,アニメ音楽について,2,20,「翔べ！ガンダム」は池田鴻が歌っています,池田鴻,井上大輔,ささきいさお,水木一郎,1
制作会社,「鋼の錬金術師」を制作した会社は？,アニメ制作会社について,2,20,「鋼の錬金術師」はボンズが制作しました,ボンズ,サンライズ,マッドハウス,Production I.G,1
作品,「デスノート」の主人公夜神月が持つノートの名前は？,アニメ作品について,1,15,夜神月が持つノートはデスノートです,デスノート,ブラックノート,ホワイトノート,レッドノート,1
監督,押井守監督の代表作は？,アニメ監督について,2,20,押井守監督の代表作は「攻殻機動隊」です,「攻殻機動隊」,「エヴァンゲリオン」,「ガンダム」,「マクロス」,1
声優,「名探偵コナン」の江戸川コナンの声優は？,声優について,1,15,江戸川コナンの声優は高山みなみです,高山みなみ,山口勝平,神谷明,山崎和佳奈,1
音楽,「美少女戦士セーラームーン」の主題歌「ムーンライト伝説」の歌は？,アニメ音楽について,2,20,「ムーンライト伝説」はDALIが歌っています,DALI,プリンセス・プリンセス,工藤静香,小泉今日子,1
制作会社,「マクロス」シリーズを制作した会社は？,アニメ制作会社について,2,20,「マクロス」シリーズはサンライズが制作しました,サンライズ,GAINAX,ボンズ,マッドハウス,1
作品,「ドラゴンボール」の主人公孫悟空の変身形態は？,アニメ作品について,1,15,孫悟空の変身形態はスーパーサイヤ人です,スーパーサイヤ人,スーパーサイヤ人2,スーパーサイヤ人3,スーパーサイヤ人4,1
監督,庵野秀明監督の代表作は？,アニメ監督について,1,15,庵野秀明監督の代表作は「新世紀エヴァンゲリオン」です,「新世紀エヴァンゲリオン」,「攻殻機動隊」,「ガンダム」,「マクロス」,1
声優,「セーラームーン」の月野うさぎの声優は？,声優について,1,15,月野うさぎの声優は三石琴乃です,三石琴乃,久川綾,富沢美智恵,篠原恵美,1
音楽,「ドラゴンボール」の主題歌「CHA-LA HEAD-CHA-LA」の歌は？,アニメ音楽について,2,20,「CHA-LA HEAD-CHA-LA」は影山ヒロノブが歌っています,影山ヒロノブ,佐藤正人,山本正之,水木一郎,1
制作会社,「エヴァンゲリオン新劇場版」を制作した会社は？,アニメ制作会社について,2,20,「エヴァンゲリオン新劇場版」はカラーが制作しました,カラー,GAINAX,サンライズ,ボンズ,1
作品,「ハンター×ハンター」の主人公ゴン・フリークスの能力は？,アニメ作品について,2,20,ゴン・フリークスの能力は強化系です,強化系,変化系,具現化系,操作系,1
監督,今敏監督の代表作は？,アニメ監督について,2,20,今敏監督の代表作は「パプリカ」です,「パプリカ」,「千年女優」,「東京ゴッドファーザーズ」,「パーフェクトブルー」,1
声優,「ワンピース」のルフィの声優は？,声優について,1,15,ルフィの声優は田中真弓です,田中真弓,中井和哉,山口勝平,平田広明,1
音楽,「ワンピース」の主題歌「ウィーアー！」の歌は？,アニメ音楽について,2,20,「ウィーアー！」はきただにひろしが歌っています,きただにひろし,北谷洋,影山ヒロノブ,水木一郎,1
制作会社,「ワンピース」を制作した会社は？,アニメ制作会社について,1,15,「ワンピース」は東映アニメーションが制作しました,東映アニメーション,サンライズ,ボンズ,マッドハウス,1
作品,「BLEACH」の主人公黒崎一護の武器は？,アニメ作品について,1,15,黒崎一護の武器は斬魄刀です,斬魄刀,鬼道,縛道,回道,1
