category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
スタートアップ基礎,MVP（Minimum Viable Product）の目的は？,スタートアップの基本概念について,1,20,MVPは最小限の機能で市場検証を行うためのプロダクトです,完璧な製品を作る,市場検証を行う,競合を倒す,収益を最大化する,2
プロダクト開発,ユーザーストーリーの基本形式は？,アジャイル開発の基本について,1,15,「〜として、〜したい。なぜなら〜だからだ」の形式で書きます,機能仕様書,要件定義書,ユーザーストーリー,設計書,3
技術選定,技術選定で最も重要な要素は？,技術スタック選定の基準について,2,25,ビジネス要件とチームスキルが技術選定の最重要要素です,最新技術を使う,ビジネス要件に合う,コストが安い,流行している,2
スケーラビリティ,垂直スケーリングとは？,システム拡張手法について,2,20,垂直スケーリングは既存サーバーのリソースを増やすことです,サーバー台数を増やす,既存サーバーのリソースを増やす,負荷分散する,キャッシュを追加する,2
セキュリティ,OWASP Top 10で最も重要な脆弱性は？,Webセキュリティの基本について,3,30,インジェクション攻撃は最も危険なWeb脆弱性の一つです,インジェクション,認証不備,設定ミス,暗号化不足,1
データ分析,ファネル分析で最も重要な指標は？,マーケティング分析手法について,2,25,コンバージョン率はファネル分析の核心指標です,トラフィック数,コンバージョン率,滞在時間,リピート率,2
クラウド・インフラ,AWSの主要なサービスは？,クラウドインフラの基本について,1,20,EC2、S3、RDSがAWSの主要サービスです,EC2・S3・RDS,Azure・GCP・AWS,MySQL・PostgreSQL・MongoDB,Linux・Windows・macOS,1
開発手法,スクラムのスプリント期間は？,アジャイル開発手法について,1,15,スクラムのスプリントは通常1-4週間です,1-4週間,1-6ヶ月,1年,不定期,1
ビジネスモデル,サブスクリプションモデルの利点は？,収益モデルの特徴について,2,20,予測可能な収益と顧客生涯価値の向上が利点です,初期投資が少ない,予測可能な収益,競合が少ない,技術的優位性,2
資金調達,シードラウンドの一般的な金額は？,スタートアップ資金調達について,2,20,シードラウンドは通常50万-200万ドル程度です,10万ドル以下,50万-200万ドル,500万-1000万ドル,1000万ドル以上,2
スタートアップ基礎,ピボットとは？,スタートアップ戦略変更について,1,15,ピボットはビジネスモデルや戦略の方向転換です,事業を売却する,戦略を変更する,従業員を解雇する,資金調達する,2
プロダクト開発,ユーザビリティテストの目的は？,UX設計の基本について,2,20,ユーザーの実際の使用行動を観察して改善点を見つけることです,デザインを美しくする,ユーザーの使用行動を観察する,機能を追加する,パフォーマンスを向上する,2
技術選定,マイクロサービスアーキテクチャの利点は？,システム設計パターンについて,3,30,独立した開発・デプロイとスケーラビリティが利点です,開発速度向上,独立した開発・デプロイ,コスト削減,セキュリティ向上,2
スケーラビリティ,CDNの主な目的は？,パフォーマンス最適化について,2,20,CDNはコンテンツ配信の高速化と負荷分散が目的です,セキュリティ強化,配信高速化,データ保存,バックアップ,2
セキュリティ,HTTPSで使用される暗号化プロトコルは？,Webセキュリティについて,1,15,HTTPSはTLS/SSLプロトコルを使用します,HTTP,TLS/SSL,FTP,SMTP,2
データ分析,コホート分析で最も重要な指標は？,ユーザー分析手法について,2,25,リテンション率はコホート分析の核心指標です,新規ユーザー数,リテンション率,売上高,ページビュー,2
クラウド・インフラ,Dockerコンテナの利点は？,コンテナ技術について,2,25,環境の一貫性と移植性がDockerの主要な利点です,軽量化,環境一貫性,セキュリティ,コスト削減,2
開発手法,CI/CDパイプラインの目的は？,継続的開発について,2,20,自動化されたテストとデプロイで品質向上とリリース速度向上が目的です,コスト削減,品質向上とリリース速度向上,セキュリティ強化,ドキュメント作成,2
ビジネスモデル,フリーミアムモデルの特徴は？,収益モデルについて,1,15,基本機能は無料、プレミアム機能は有料という構造です,完全無料,基本無料・プレミアム有料,完全有料,広告収益,2
資金調達,エンジェル投資家の特徴は？,投資家タイプについて,2,20,個人投資家で早期段階のスタートアップに投資する特徴があります,機関投資家,個人投資家,政府機関,銀行,2
スタートアップ基礎,リーンスタートアップの核となる概念は？,起業手法について,2,25,ビルド・測定・学習のサイクルがリーンスタートアップの核です,完璧な計画,ビルド・測定・学習,大量の資金,特許技術,2
プロダクト開発,A/Bテストの目的は？,データ駆動開発について,2,20,仮説検証を通じて最適なソリューションを見つけることです,デザイン改善,仮説検証,コスト削減,開発速度向上,2
技術選定,NoSQLデータベースの利点は？,データベース選定について,2,25,スケーラビリティと柔軟なスキーマが利点です,ACID準拠,スケーラビリティ,複雑なクエリ,トランザクション,2
スケーラビリティ,ロードバランサーの役割は？,システム設計について,2,20,トラフィックを複数サーバーに分散して負荷を分散します,セキュリティ強化,負荷分散,データ保存,バックアップ,2
セキュリティ,SQLインジェクション攻撃の対策は？,Webセキュリティについて,2,25,プリペアドステートメントの使用が最も効果的です,ファイアウォール,プリペアドステートメント,暗号化,認証強化,2
データ分析,KPIの設定で最も重要なのは？,指標設定について,2,20,ビジネス目標と連動した測定可能な指標であることです,測定可能,ビジネス目標と連動,リアルタイム,自動化,2
クラウド・インフラ,サーバーレスアーキテクチャの利点は？,クラウド技術について,2,25,運用コスト削減と自動スケーリングが利点です,完全制御,運用コスト削減,カスタマイズ性,データ所有権,2
