category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
現代アート,村上隆の代表的な作品シリーズは？,現代アートの巨匠について,1,15,村上隆の代表的な作品シリーズは「スーパーフラット」です,スーパーフラット,ポップアート,ミニマルアート,コンセプチュアルアート,1
音楽,米津玄師のデビュー年は？,音楽アーティストについて,2,20,米津玄師は2012年に「diorama」でメジャーデビューしました,2010年,2012年,2014年,2016年,2
映画,是枝裕和監督の代表作「万引き家族」がカンヌ国際映画祭で受賞した賞は？,映画監督について,2,25,「万引き家族」は2018年にパルム・ドール（最高賞）を受賞しました,審査員賞,パルム・ドール,監督賞,脚本賞,2
文学,村田沙耶香の芥川賞受賞作は？,現代文学について,2,20,村田沙耶香は「コンビニ人間」で2016年に芥川賞を受賞しました,「コンビニ人間」,「推し、燃ゆ」,「乳と卵」,「蹴りたい背中」,1
演劇,野田秀樹の代表作「NODA・MAP」の特徴は？,演劇演出家について,2,25,野田秀樹の作品は複雑なストーリーと視覚的演出が特徴です,ミニマル演出,複雑なストーリーと視覚的演出,即興劇,古典劇,2
現代アート,草間彌生の代表的なモチーフは？,現代アートについて,1,15,草間彌生の代表的なモチーフは水玉（ドット）です,水玉,ハート,星,花,1
音楽,宇多田ヒカルのデビュー年は？,音楽アーティストについて,1,15,宇多田ヒカルは1998年に「Automatic」でデビューしました,1996年,1998年,2000年,2002年,2
映画,新海誠監督の代表作「君の名は。」の公開年は？,アニメ映画監督について,1,15,「君の名は。」は2016年に公開されました,2014年,2016年,2018年,2020年,2
文学,朝井リョウの芥川賞受賞作は？,現代文学について,2,20,朝井リョウは「何者」で2012年に芥川賞を受賞しました,「何者」,「桐島、部活やめるってよ」,「世界地図の下を歩く」,「もう、しませんから」,1
演劇,三浦大輔の代表作「マクベス」の特徴は？,演劇演出家について,2,25,三浦大輔は現代的な解釈で古典を演出する特徴があります,古典的演出,現代的な解釈,ミュージカル,即興劇,2
現代アート,奈良美智の代表的なキャラクターは？,現代アートについて,1,15,奈良美智の代表的なキャラクターは大きな目をした子供です,大きな目をした子供,犬,猫,鳥,1
音楽,椎名林檎のデビュー年は？,音楽アーティストについて,1,15,椎名林檎は1998年に「幸福論」でデビューしました,1996年,1998年,2000年,2002年,2
映画,山田洋次監督の代表作「おとうと」の主演は？,映画監督について,2,20,「おとうと」の主演は吉永小百合と笑福亭鶴瓶です,吉永小百合と笑福亭鶴瓶,高倉健,渥美清,倍賞千恵子,1
文学,川上未映子の芥川賞受賞作は？,現代文学について,2,20,川上未映子は「乳と卵」で2008年に芥川賞を受賞しました,「乳と卵」,「わたくし率 イン 歯ー、または世界」,「すべて真夜中の恋人たち」,「ヘヴン」,1
演劇,野田秀樹の「NODA・MAP」の代表作は？,演劇演出家について,2,25,野田秀樹の代表作は「Q」です,「Q」,「ピンク」,「ゼロ」,「エレファント」,1
現代アート,村上隆の「スーパーフラット」理論の特徴は？,現代アート理論について,2,25,スーパーフラット理論は日本の平面性とポップカルチャーの融合を表現します,立体性,平面性とポップカルチャーの融合,抽象性,写実性,2
音楽,中島みゆきのデビュー年は？,音楽アーティストについて,1,15,中島みゆきは1975年に「アザミ嬢のララバイ」でデビューしました,1973年,1975年,1977年,1979年,2
映画,黒沢清監督の代表作「回路」のジャンルは？,映画監督について,2,20,「回路」はホラー映画です,アクション,ホラー,コメディ,ドラマ,2
文学,平野啓一郎の芥川賞受賞作は？,現代文学について,2,20,平野啓一郎は「日蝕」で1999年に芥川賞を受賞しました,「日蝕」,「葬送」,「ドーン」,「決壊」,1
演劇,蜷川幸雄の代表作「リア王」の特徴は？,演劇演出家について,2,25,蜷川幸雄は古典を現代的な解釈で演出する特徴があります,古典的演出,現代的な解釈,ミニマル演出,即興演出,2
現代アート,草間彌生の「南瓜」シリーズの特徴は？,現代アートについて,2,20,草間彌生の「南瓜」シリーズは水玉模様が特徴です,ストライプ模様,水玉模様,チェック模様,花模様,2
