category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
地理,栃木県の県境で最も長いのは？,栃木県の地理について,2,20,栃木県の県境で最も長いのは群馬県との境界です,茨城県,群馬県,福島県,埼玉県,2
歴史,栃木県の「下野国」の国府は？,栃木県の歴史について,2,25,下野国の国府は栃木市に置かれました,宇都宮市,栃木市,足利市,佐野市,2
観光,日光の「中禅寺湖」の面積は約何平方キロメートル？,栃木県の観光について,2,20,中禅寺湖の面積は約11.6平方キロメートルです,5平方キロメートル,11.6平方キロメートル,20平方キロメートル,30平方キロメートル,2
産業,栃木県の工業で最も多い企業数は？,栃木県の産業について,2,25,栃木県の工業企業数は自動車関連が最も多いです,食品製造,自動車関連,電子機器,化学工業,2
特産品,栃木県の「那須高原のワイン」の特徴は？,栃木県の特産品について,2,20,那須高原のワインは昼夜の温度差で酸味が特徴です,甘い,酸味が特徴,辛い,苦い,2
文化,栃木県の伝統工芸「益子焼」の窯の種類は？,栃木県の伝統工芸について,2,25,益子焼は登り窯で焼成されます,電気窯,ガス窯,登り窯,レンガ窯,3
地理,栃木県の河川で最も長いのは？,栃木県の地理について,2,20,栃木県の河川で最も長いのは鬼怒川です,那珂川,鬼怒川,思川,巴波川,2
歴史,栃木県の「足利学校」の学生数は最盛期に何人？,栃木県の歴史について,2,25,足利学校の学生数は最盛期に3,000人でした,1,000人,3,000人,5,000人,10,000人,2
観光,那須高原の年間平均気温は？,栃木県の観光について,2,20,那須高原の年間平均気温は約10度です,5度,10度,15度,20度,2
産業,栃木県の農業で最も多い農家数は？,栃木県の農業について,2,25,栃木県の農家数は稲作農家が最も多いです,稲作農家,野菜農家,果樹農家,畜産農家,1
特産品,栃木県の「佐野ラーメン」のスープの特徴は？,栃木県の食文化について,2,20,佐野ラーメンのスープは醤油ベースでコクがあるのが特徴です,味噌ベース,醤油ベース,塩ベース,豚骨ベース,2
文化,栃木県の祭り「鹿沼今宮神社祭」の屋台の数は？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭の屋台は約20台あります,10台,20台,30台,40台,2
地理,栃木県の湖沼で最も大きいのは？,栃木県の地理について,2,20,栃木県の湖沼で最も大きいのは中禅寺湖です,中禅寺湖,湯ノ湖,菖蒲ヶ浜,大池,1
歴史,栃木県の「宇都宮城」の築城者は？,栃木県の歴史について,2,20,宇都宮城は宇都宮氏が築城しました,宇都宮氏,小山氏,佐野氏,壬生氏,1
観光,日光の「華厳の滝」の落差は約何メートル？,栃木県の観光について,2,20,華厳の滝の落差は約97メートルです,50メートル,97メートル,150メートル,200メートル,2
産業,栃木県の工業で最も多い従業者規模は？,栃木県の産業について,2,25,栃木県の工業従業者規模は100-299人が最も多いです,1-9人,100-299人,500-999人,1,000人以上,2
特産品,栃木県の「那須和牛」の飼育頭数は約何頭？,栃木県の畜産について,2,25,那須和牛の飼育頭数は約1,000頭です,500頭,1,000頭,2,000頭,3,000頭,2
文化,栃木県の伝統工芸「結城紬」の織り機は？,栃木県の伝統工芸について,2,25,結城紬は高機（たかばた）で織られます,力織機,高機,ジャカード織機,手織機,2
地理,栃木県の県境で最も短いのは？,栃木県の地理について,2,20,栃木県の県境で最も短いのは埼玉県との境界です,茨城県,群馬県,福島県,埼玉県,4
歴史,栃木県の「小山城」の築城年は？,栃木県の歴史について,2,25,小山城は戦国時代の1532年に築城されました,1500年,1532年,1550年,1600年,2
観光,鬼怒川温泉の源泉の深さは約何メートル？,栃木県の温泉について,2,20,鬼怒川温泉の源泉の深さは約1,000メートルです,500メートル,1,000メートル,1,500メートル,2,000メートル,2
産業,栃木県の農業で最も多い農業法人数は？,栃木県の農業について,2,25,栃木県の農業法人数は稲作法人が最も多いです,稲作法人,野菜法人,果樹法人,畜産法人,1
特産品,栃木県の「宇都宮餃子」の1日の消費量は約何個？,栃木県の食文化について,2,25,宇都宮餃子の1日の消費量は約30万個です,10万個,30万個,50万個,100万個,2
文化,栃木県の祭り「足利まつり」の参加者数は約何人？,栃木県の伝統文化について,2,25,足利まつりの参加者数は約10万人です,5万人,10万人,15万人,20万人,2
地理,栃木県の山で最も高いのは？,栃木県の地理について,2,20,栃木県の山で最も高いのは白根山（2,578m）です,男体山,白根山,三本槍岳,茶臼岳,2
歴史,栃木県の「佐野城」の築城年は？,栃木県の歴史について,2,25,佐野城は戦国時代の1540年に築城されました,1500年,1540年,1560年,1600年,2
観光,那須温泉の泉温は約何度？,栃木県の温泉について,2,20,那須温泉の泉温は約60-70度です,40-50度,60-70度,80-90度,100度以上,2
産業,栃木県の工業で最も多い輸出先国は？,栃木県の貿易について,2,25,栃木県の工業輸出先で最も多いのはアメリカです,中国,アメリカ,韓国,ドイツ,2
特産品,栃木県の「那須高原のりんご」の品種で最も多いのは？,栃木県の農業について,2,20,那須高原のりんごで最も多い品種はふじです,つがる,ふじ,ジョナゴールド,王林,2
